,ts,open,high,low,close,vol
14356,1590811200000,9392.4,9569.0,9390.0,9518.3,654094
14357,1590807600000,9381.1,9393.9,9333.0,9392.3,170251
14358,1590804000000,9378.7,9395.0,9364.5,9381.1,83294
14359,1590800400000,9369.0,9407.3,9350.3,9378.8,141064
14360,1590796800000,9426.3,9432.2,9352.0,9368.9,181485
14361,1590793200000,9427.5,9451.0,9417.1,9426.3,65727
14362,1590789600000,9396.3,9433.0,9371.5,9427.4,54498
14363,1590786000000,9419.6,9421.4,9370.5,9397.5,41475
14364,1590782400000,9402.5,9430.7,9388.2,9419.6,37088
14365,1590778800000,9434.1,9434.1,9397.6,9405.3,54446
14366,1590775200000,9426.6,9441.3,9396.1,9434.0,111488
14367,1590771600000,9435.1,9454.9,9417.9,9426.5,104738
14368,1590768000000,9411.0,9450.0,9393.7,9434.3,141259
14369,1590764400000,9444.0,9446.1,9328.0,9411.0,294020
14370,1590760800000,9436.8,9480.0,9420.0,9443.9,187861
14371,1590757200000,9399.1,9445.0,9384.5,9436.2,175279
14372,1590753600000,9405.0,9455.0,9375.0,9399.0,246432
14373,1590750000000,9366.6,9420.0,9343.5,9405.0,242259
14374,1590746400000,9447.2,9470.0,9358.1,9366.6,447906
14375,1590742800000,9448.7,9477.0,9438.7,9447.6,143124
14376,1590739200000,9524.4,9594.0,9425.2,9448.6,691648
14377,1590735600000,9515.0,9540.5,9510.0,9523.8,88707
14378,1590732000000,9519.0,9553.8,9506.8,9515.0,146744
14379,1590728400000,9501.2,9532.8,9473.0,9519.0,111774
14380,1590724800000,9517.5,9543.0,9497.4,9501.2,122086
14381,1590721200000,9503.4,9532.6,9490.1,9517.4,141472
14382,1590717600000,9512.0,9538.5,9495.0,9503.4,113886
14383,1590714000000,9511.8,9531.0,9461.1,9512.0,229152
14384,1590710400000,9573.4,9602.5,9502.5,9511.8,342893
14385,1590706800000,9489.3,9629.9,9484.1,9574.4,561377
14386,1590703200000,9437.5,9550.0,9437.5,9487.0,215064
14387,1590699600000,9451.1,9485.3,9418.8,9437.4,81717
14388,1590696000000,9451.0,9458.3,9424.0,9451.2,41317
14389,1590692400000,9427.3,9480.0,9403.0,9450.1,94072
14390,1590688800000,9466.4,9478.4,9428.2,9428.2,71373
14391,1590685200000,9448.8,9474.3,9443.5,9466.5,87611
14392,1590681600000,9497.7,9550.0,9434.0,9448.9,292703
14393,1590678000000,9463.4,9526.5,9435.1,9497.6,302736
14394,1590674400000,9409.4,9498.5,9409.3,9463.3,485349
14395,1590670800000,9423.6,9455.0,9381.0,9407.9,436173
14396,1590667200000,9264.9,9443.0,9250.1,9423.5,843685
14397,1590663600000,9167.7,9280.3,9156.1,9264.9,413182
14398,1590660000000,9199.0,9199.0,9163.2,9167.7,87148
14399,1590656400000,9188.6,9204.0,9172.3,9198.9,159900
14400,1590652800000,9149.4,9188.9,9115.1,9188.5,170096
14401,1590649200000,9170.3,9184.9,9126.1,9149.9,131753
14402,1590645600000,9166.4,9175.0,9149.0,9169.9,102086
14403,1590642000000,9178.6,9179.9,9121.0,9166.3,171807
14404,1590638400000,9172.8,9198.0,9138.0,9178.6,146830
14405,1590634800000,9202.9,9202.9,9160.0,9172.8,106498
14406,1590631200000,9217.1,9228.0,9161.6,9202.9,196803
14407,1590627600000,9260.1,9276.1,9213.2,9217.1,210677
14408,1590624000000,9202.0,9280.0,9163.1,9260.1,311251
14409,1590620400000,9103.8,9207.0,9095.3,9202.0,296617
14410,1590616800000,9071.0,9133.0,9058.0,9103.8,122527
14411,1590613200000,9164.2,9165.5,9060.0,9070.5,141653
14412,1590609600000,9156.3,9175.4,9153.9,9163.1,37810
14413,1590606000000,9167.9,9170.3,9138.0,9156.0,74370
14414,1590602400000,9190.0,9195.9,9159.9,9166.5,71745
14415,1590598800000,9169.9,9216.1,9167.6,9190.6,97850
14416,1590595200000,9147.7,9191.0,9136.0,9169.9,147739
14417,1590591600000,9148.5,9247.3,9122.0,9148.5,301139
14418,1590588000000,9142.9,9165.0,9120.5,9148.4,160549
14419,1590584400000,9139.0,9176.2,9125.0,9142.8,161809
14420,1590580800000,9145.1,9188.0,9124.0,9139.0,279259
14421,1590577200000,9123.0,9152.9,9109.8,9145.0,251406
14422,1590573600000,8923.8,9200.0,8920.2,9123.0,825331
14423,1590570000000,8926.9,8935.0,8903.8,8924.9,129159
14424,1590566400000,8844.6,8951.0,8844.6,8926.8,450421
14425,1590562800000,8847.0,8862.5,8835.9,8844.7,88601
14426,1590559200000,8875.0,8883.0,8835.6,8847.0,114951
14427,1590555600000,8857.8,8875.0,8850.0,8874.9,115139
14428,1590552000000,8831.2,8857.8,8830.0,8857.8,84480
14429,1590548400000,8822.9,8855.0,8822.8,8831.3,95431
14430,1590544800000,8854.8,8875.0,8818.0,8823.3,150156
14431,1590541200000,8888.9,8894.0,8847.7,8854.7,110799
14432,1590537600000,8840.8,8894.7,8833.8,8889.0,221583
14433,1590534000000,8830.2,8861.2,8815.2,8842.8,89546
14434,1590530400000,8840.1,8841.1,8803.0,8830.2,96136
14435,1590526800000,8855.1,8874.7,8825.0,8840.0,89007
14436,1590523200000,8799.6,8879.9,8799.6,8855.1,130651
14437,1590519600000,8811.9,8811.9,8762.2,8799.6,106646
14438,1590516000000,8810.1,8817.0,8792.8,8811.9,74543
14439,1590512400000,8787.5,8817.0,8781.7,8810.1,112063
14440,1590508800000,8726.2,8803.0,8700.0,8787.4,274448
14441,1590505200000,8816.7,8833.7,8702.0,8727.8,414499
14442,1590501600000,8809.7,8856.3,8794.4,8816.7,223529
14443,1590498000000,8816.8,8860.0,8775.6,8809.0,212144
14444,1590494400000,8869.6,8915.0,8790.0,8816.8,338821
14445,1590490800000,8865.4,8885.8,8842.4,8869.7,144055
14446,1590487200000,8893.6,8898.2,8831.0,8864.9,289768
14447,1590483600000,8960.7,8990.6,8870.2,8893.6,315821
14448,1590480000000,8951.7,9018.0,8940.2,8962.7,267353
14449,1590476400000,8888.9,8964.0,8860.0,8952.1,298197
14450,1590472800000,8933.4,8935.8,8883.6,8888.9,132030
14451,1590469200000,8905.4,8936.9,8894.4,8933.4,136152
14452,1590465600000,8902.7,8923.1,8883.0,8905.3,125323
14453,1590462000000,8880.0,8928.0,8872.0,8902.6,121025
14454,1590458400000,8881.4,8917.6,8871.8,8880.0,136194
14455,1590454800000,8865.0,8893.6,8857.0,8881.5,98693
14456,1590451200000,8896.9,8918.3,8822.0,8864.2,227314
14457,1590447600000,8899.4,8933.7,8888.6,8895.8,113846
14458,1590444000000,8899.9,8918.8,8866.1,8900.0,62706
14459,1590440400000,8914.4,8925.0,8866.9,8898.6,61462
14460,1590436800000,8928.2,8942.9,8897.5,8912.5,73998
14461,1590433200000,8885.3,8975.0,8872.0,8928.3,169095
14462,1590429600000,8891.7,8908.6,8860.0,8885.2,94353
14463,1590426000000,8807.3,8926.6,8792.1,8891.6,244645
14464,1590422400000,8780.8,8844.5,8763.1,8807.1,172893
14465,1590418800000,8757.6,8809.4,8745.0,8780.8,153990
14466,1590415200000,8815.3,8860.0,8744.7,8757.6,322509
14467,1590411600000,8758.0,8831.1,8731.1,8815.4,207851
14468,1590408000000,8749.8,8780.0,8733.8,8757.9,146407
14469,1590404400000,8688.8,8762.1,8670.0,8749.8,217668
14470,1590400800000,8753.3,8795.0,8675.7,8690.0,281641
14471,1590397200000,8821.1,8870.0,8710.0,8752.3,341573
14472,1590393600000,8865.3,8877.0,8820.2,8821.6,116578
14473,1590390000000,8787.7,8871.0,8776.0,8865.7,190968
14474,1590386400000,8781.2,8810.3,8765.1,8787.7,116666
14475,1590382800000,8804.9,8820.2,8765.0,8780.7,114408
14476,1590379200000,8781.7,8810.0,8770.3,8805.0,113285
14477,1590375600000,8788.1,8796.1,8741.1,8782.8,149642
14478,1590372000000,8789.0,8813.9,8765.3,8790.0,105452
14479,1590368400000,8807.0,8807.0,8763.8,8789.1,106532
14480,1590364800000,8717.4,8818.8,8622.0,8807.0,313572
14481,1590361200000,9040.8,9052.3,8650.1,8716.7,611628
14482,1590357600000,9050.0,9060.6,9014.8,9040.9,105739
14483,1590354000000,9001.5,9080.6,9000.5,9050.0,105439
14484,1590350400000,9016.2,9039.7,8987.0,9001.6,99376
14485,1590346800000,8940.7,9035.7,8937.4,9018.0,129892
14486,1590343200000,8948.1,8978.0,8888.0,8940.1,115465
14487,1590339600000,8939.0,8981.9,8922.7,8945.3,201346
14488,1590336000000,9053.8,9053.8,8852.1,8939.0,793414
14489,1590332400000,9070.0,9092.2,9028.0,9054.0,189700
14490,1590328800000,9086.4,9087.0,9011.0,9070.0,294587
14491,1590325200000,9156.9,9157.0,9043.4,9088.3,281654
14492,1590321600000,9119.2,9176.0,9098.0,9156.9,291548
14493,1590318000000,9264.3,9264.3,9100.0,9120.1,533217
14494,1590314400000,9270.1,9285.3,9250.0,9266.4,69075
14495,1590310800000,9260.2,9295.0,9258.2,9270.1,122401
14496,1590307200000,9255.0,9275.0,9235.4,9260.1,130424
14497,1590303600000,9273.3,9286.9,9241.4,9255.0,99312
14498,1590300000000,9205.0,9295.0,9205.0,9273.2,323000
14499,1590296400000,9191.6,9216.0,9186.0,9204.9,52540
14500,1590292800000,9195.4,9220.0,9191.1,9191.6,53845
14501,1590289200000,9200.8,9214.9,9181.5,9195.3,56752
14502,1590285600000,9173.9,9228.0,9173.9,9200.8,99737
14503,1590282000000,9200.0,9210.1,9173.9,9173.9,74633
14504,1590278400000,9178.3,9210.7,9121.0,9199.9,147667
14505,1590274800000,9224.2,9226.9,9150.0,9178.3,105177
14506,1590271200000,9224.0,9243.0,9210.0,9224.1,55596
14507,1590267600000,9231.8,9243.1,9208.9,9222.9,63573
14508,1590264000000,9179.9,9245.0,9161.1,9231.9,135222
14509,1590260400000,9162.6,9193.3,9120.1,9179.8,62910
14510,1590256800000,9174.7,9200.0,9148.0,9162.6,84140
14511,1590253200000,9172.6,9200.0,9158.0,9174.4,83068
14512,1590249600000,9197.6,9208.2,9132.0,9172.0,119325
14513,1590246000000,9198.9,9210.0,9168.2,9197.6,94538
14514,1590242400000,9150.3,9221.2,9136.4,9198.7,197361
14515,1590238800000,9131.1,9175.0,9115.2,9150.3,125632
14516,1590235200000,9171.2,9171.2,9080.1,9131.2,183460
14517,1590231600000,9139.9,9187.0,9132.0,9171.6,127318
14518,1590228000000,9140.4,9152.5,9099.0,9140.1,227158
14519,1590224400000,9188.1,9200.0,9115.9,9140.5,175164
14520,1590220800000,9256.7,9256.7,9167.4,9188.4,215786
14521,1590217200000,9244.5,9268.0,9225.7,9256.8,68894
14522,1590213600000,9262.0,9262.0,9213.0,9243.9,107894
14523,1590210000000,9252.1,9264.4,9232.2,9261.9,71949
14524,1590206400000,9283.6,9297.1,9239.0,9252.1,133982
14525,1590202800000,9269.5,9309.3,9269.4,9283.6,141525
14526,1590199200000,9236.9,9290.0,9228.8,9269.4,116936
14527,1590195600000,9238.8,9267.2,9222.6,9237.7,86029
14528,1590192000000,9171.0,9250.0,9171.0,9238.7,158071
14529,1590188400000,9194.5,9195.2,9133.0,9171.0,89649
14530,1590184800000,9203.6,9213.9,9171.9,9194.5,43223
14531,1590181200000,9177.0,9203.6,9161.7,9203.6,35349
14532,1590177600000,9174.0,9207.4,9130.4,9177.6,61176
14533,1590174000000,9198.1,9217.5,9142.9,9173.1,86366
14534,1590170400000,9189.8,9223.8,9170.2,9199.6,64241
14535,1590166800000,9243.1,9273.0,9163.6,9189.9,189583
14536,1590163200000,9222.7,9250.0,9180.0,9243.0,216949
14537,1590159600000,9135.0,9225.5,9135.0,9222.4,230432
14538,1590156000000,9112.7,9172.7,9112.7,9135.6,135562
14539,1590152400000,9169.5,9175.9,9085.2,9111.3,205754
14540,1590148800000,9166.9,9204.3,9145.0,9169.5,195364
14541,1590145200000,9164.1,9189.0,9132.0,9166.8,169138
14542,1590141600000,9105.5,9197.9,9105.5,9165.0,336096
14543,1590138000000,9091.4,9107.8,9060.0,9105.5,112246
14544,1590134400000,9082.4,9105.5,9046.1,9091.3,127437
14545,1590130800000,9085.0,9113.7,9053.2,9080.1,194536
14546,1590127200000,9045.0,9097.7,9031.3,9085.0,170759
14547,1590123600000,8997.6,9071.9,8962.0,9044.4,201318
14548,1590120000000,8997.6,9038.8,8930.1,8996.8,167062
14549,1590116400000,9039.4,9070.0,8961.0,8995.8,218144
14550,1590112800000,9086.3,9121.9,9039.4,9040.0,129292
14551,1590109200000,9026.1,9128.2,9023.1,9086.2,193691
14552,1590105600000,9068.1,9068.4,8966.4,9026.0,270443
14553,1590102000000,9124.0,9131.9,9034.2,9068.1,157152
14554,1590098400000,9104.1,9160.0,9103.8,9123.7,104234
14555,1590094800000,9053.3,9144.0,9053.0,9104.0,97780
14556,1590091200000,9067.6,9082.9,9014.3,9053.8,81532
14557,1590087600000,8835.9,9099.1,8819.8,9068.1,399431
14558,1590084000000,9004.7,9006.2,8818.4,8836.5,673249
14559,1590080400000,9079.0,9102.1,8958.5,9004.8,244340
14560,1590076800000,9086.9,9129.9,9046.4,9079.1,228238
14561,1590073200000,9081.2,9149.0,9046.3,9086.9,308022
14562,1590069600000,9295.3,9320.0,8926.1,9081.2,1499729
14563,1590066000000,9358.8,9385.0,9256.0,9295.2,209010
14564,1590062400000,9384.9,9390.0,9322.0,9358.0,135031
14565,1590058800000,9376.0,9385.3,9340.3,9385.0,106041
14566,1590055200000,9301.6,9379.3,9230.0,9374.7,285866
14567,1590051600000,9375.0,9430.0,9301.0,9301.7,261999
14568,1590048000000,9456.9,9503.4,9273.0,9376.0,544578
14569,1590044400000,9488.3,9494.0,9445.0,9455.8,121964
14570,1590040800000,9498.5,9528.6,9485.9,9488.1,105949
14571,1590037200000,9482.6,9515.0,9482.6,9499.3,108707
14572,1590033600000,9482.9,9498.4,9406.0,9482.5,196122
14573,1590030000000,9473.4,9503.5,9452.0,9482.1,129037
14574,1590026400000,9513.4,9529.9,9460.0,9472.7,142351
14575,1590022800000,9555.1,9558.3,9506.8,9513.6,89743
14576,1590019200000,9514.1,9575.9,9482.1,9555.1,119302
14577,1590015600000,9526.6,9550.0,9441.2,9514.1,173724
14578,1590012000000,9550.8,9568.4,9507.2,9526.6,57921
14579,1590008400000,9586.2,9586.2,9535.2,9550.7,52358
14580,1590004800000,9530.6,9600.0,9512.6,9585.5,95054
14581,1590001200000,9532.4,9536.0,9487.9,9532.6,82847
14582,1589997600000,9539.7,9548.0,9509.1,9532.3,94779
14583,1589994000000,9498.0,9547.6,9448.0,9539.9,211768
14584,1589990400000,9413.0,9520.0,9358.4,9497.9,450497
14585,1589986800000,9764.0,9764.0,9260.0,9414.3,1185547
14586,1589983200000,9785.0,9798.0,9760.0,9764.1,107978
14587,1589979600000,9766.2,9794.0,9742.9,9785.0,117731
14588,1589976000000,9729.8,9787.7,9721.0,9766.3,119167
14589,1589972400000,9774.9,9780.0,9711.0,9728.8,104219
14590,1589968800000,9786.6,9808.0,9724.0,9775.0,143267
14591,1589965200000,9781.8,9798.0,9749.7,9785.0,86639
14592,1589961600000,9763.6,9798.0,9743.7,9783.0,114935
14593,1589958000000,9723.3,9786.8,9695.0,9763.7,149616
14594,1589954400000,9754.0,9840.0,9640.0,9723.3,436029
14595,1589950800000,9735.9,9755.0,9720.0,9753.9,66054
14596,1589947200000,9725.1,9755.0,9701.0,9735.3,100847
14597,1589943600000,9736.2,9774.8,9716.6,9725.0,113557
14598,1589940000000,9746.1,9749.4,9708.5,9736.3,95915
14599,1589936400000,9744.7,9767.5,9732.9,9746.0,95693
14600,1589932800000,9777.1,9803.3,9730.0,9744.7,177983
14601,1589929200000,9753.0,9795.0,9704.6,9777.0,169429
14602,1589925600000,9683.3,9772.3,9656.4,9753.0,124049
14603,1589922000000,9689.8,9700.0,9658.3,9684.1,55870
14604,1589918400000,9641.8,9698.2,9615.3,9688.7,76917
14605,1589914800000,9696.2,9715.8,9634.8,9642.7,60989
14606,1589911200000,9657.0,9715.9,9643.1,9696.3,74624
14607,1589907600000,9687.6,9708.2,9617.2,9656.0,153528
14608,1589904000000,9685.6,9728.0,9665.7,9687.6,144771
14609,1589900400000,9699.0,9735.0,9647.2,9685.6,166866
14610,1589896800000,9672.0,9736.8,9667.0,9699.1,189481
14611,1589893200000,9620.4,9683.0,9590.0,9671.3,293958
14612,1589889600000,9752.7,9759.0,9550.0,9620.4,515352
14613,1589886000000,9790.9,9900.0,9699.0,9753.6,505295
14614,1589882400000,9792.0,9805.0,9751.0,9790.9,98846
14615,1589878800000,9805.0,9818.5,9767.1,9792.0,160455
14616,1589875200000,9573.4,9832.5,9573.2,9804.6,699647
14617,1589871600000,9585.2,9621.9,9550.0,9572.2,116434
14618,1589868000000,9600.7,9622.0,9580.5,9585.2,92386
14619,1589864400000,9534.3,9608.0,9524.0,9600.8,155345
14620,1589860800000,9531.4,9575.0,9472.0,9534.7,213697
14621,1589857200000,9611.3,9629.0,9478.0,9531.4,229768
14622,1589853600000,9649.8,9651.6,9530.0,9613.0,234133
14623,1589850000000,9639.9,9660.7,9622.0,9649.1,83319
14624,1589846400000,9731.7,9739.3,9575.0,9640.0,268631
14625,1589842800000,9723.8,9760.0,9703.0,9731.6,93567
14626,1589839200000,9684.3,9749.0,9663.6,9724.0,80394
14627,1589835600000,9682.2,9726.8,9671.0,9684.8,47722
14628,1589832000000,9701.4,9718.8,9650.0,9683.1,43568
14629,1589828400000,9656.6,9720.0,9656.6,9701.1,76362
14630,1589824800000,9627.0,9669.5,9615.0,9656.5,66358
14631,1589821200000,9637.0,9655.9,9550.0,9626.0,175898
14632,1589817600000,9669.3,9707.2,9602.6,9636.9,195043
14633,1589814000000,9707.3,9718.0,9640.0,9669.7,135176
14634,1589810400000,9661.1,9733.0,9630.6,9707.9,207973
14635,1589806800000,9666.8,9690.0,9640.0,9661.0,157274
14636,1589803200000,9630.9,9670.9,9566.0,9666.9,260943
14637,1589799600000,9629.7,9694.5,9626.0,9630.4,143084
14638,1589796000000,9579.0,9660.0,9566.6,9629.3,185003
14639,1589792400000,9588.9,9614.8,9540.0,9578.4,222434
14640,1589788800000,9785.0,9789.0,9450.0,9588.9,679972
14641,1589785200000,9778.7,9805.0,9735.0,9784.9,147743
14642,1589781600000,9860.1,9884.3,9735.0,9778.7,361354
14643,1589778000000,9867.9,9903.0,9853.6,9860.8,112420
14644,1589774400000,9860.4,9915.6,9832.6,9868.6,158481
14645,1589770800000,9870.1,9894.0,9820.7,9860.3,130611
14646,1589767200000,9904.2,9930.0,9837.0,9868.9,199373
14647,1589763600000,9777.3,9963.0,9760.2,9904.2,634960
14648,1589760000000,9678.6,9785.2,9678.6,9777.3,171884
14649,1589756400000,9690.2,9727.3,9660.0,9678.6,108378
14650,1589752800000,9766.7,9766.7,9603.0,9691.3,301347
14651,1589749200000,9741.8,9794.8,9740.2,9766.6,44647
14652,1589745600000,9767.7,9767.7,9722.8,9743.7,43704
14653,1589742000000,9749.0,9787.0,9726.8,9770.0,59562
14654,1589738400000,9759.5,9760.4,9705.0,9750.3,84696
14655,1589734800000,9737.3,9770.0,9714.0,9759.4,76722
14656,1589731200000,9819.0,9837.9,9701.0,9737.9,229902
14657,1589727600000,9806.0,9891.9,9762.6,9820.3,375493
14658,1589724000000,9743.0,9820.0,9725.0,9805.9,264272
14659,1589720400000,9772.3,9791.5,9690.0,9743.0,271784
14660,1589716800000,9525.3,9778.4,9525.3,9772.6,822327
14661,1589713200000,9532.3,9535.5,9495.0,9525.3,92556
14662,1589709600000,9491.9,9537.8,9491.9,9532.6,91764
14663,1589706000000,9491.3,9515.0,9455.0,9491.1,116135
14664,1589702400000,9540.1,9550.3,9482.0,9491.3,149305
14665,1589698800000,9546.6,9564.8,9507.1,9540.1,110179
14666,1589695200000,9496.3,9552.8,9496.3,9547.8,99436
14667,1589691600000,9510.0,9532.0,9477.0,9496.3,109708
14668,1589688000000,9543.0,9569.5,9508.5,9510.1,132544
14669,1589684400000,9510.2,9574.0,9495.1,9542.9,141563
14670,1589680800000,9469.1,9554.3,9468.2,9510.2,145089
14671,1589677200000,9479.9,9520.0,9438.5,9469.1,156595
14672,1589673600000,9383.3,9508.0,9323.9,9480.6,268788
14673,1589670000000,9422.0,9436.8,9366.8,9384.6,99758
14674,1589666400000,9382.6,9444.0,9364.0,9422.2,67163
14675,1589662800000,9381.5,9429.9,9358.0,9383.2,77067
14676,1589659200000,9329.6,9392.4,9297.8,9379.9,77615
14677,1589655600000,9289.6,9352.8,9270.2,9329.6,81970
14678,1589652000000,9324.3,9348.0,9270.0,9290.5,160767
14679,1589648400000,9388.9,9406.9,9299.3,9326.0,152797
14680,1589644800000,9377.4,9409.8,9320.0,9388.9,226382
14681,1589641200000,9429.9,9437.9,9333.4,9378.6,226889
14682,1589637600000,9453.7,9490.0,9400.6,9430.0,172805
14683,1589634000000,9469.4,9530.4,9425.5,9453.7,212209
14684,1589630400000,9410.5,9511.0,9403.8,9469.6,238022
14685,1589626800000,9451.4,9456.4,9381.0,9410.5,101700
14686,1589623200000,9415.3,9459.6,9370.0,9451.4,137591
14687,1589619600000,9423.6,9433.8,9332.0,9414.4,166031
14688,1589616000000,9388.8,9439.3,9350.0,9423.7,193588
14689,1589612400000,9466.6,9508.0,9377.3,9389.0,180269
14690,1589608800000,9462.1,9482.3,9412.0,9466.6,119814
14691,1589605200000,9495.0,9588.0,9440.8,9460.2,360247
